bio_0_djvu_vetlugin_a01.docx,"Ветлугин А. Авантюристы гражданской войны, 1921"
bio_0_djvu_vladimov_mv01.docx,"Владимов М.В. Шура Кобер, Витя Хоменко, 1981"
bio_0_djvu_vlasov_lv01.docx,"Власов Л.В. Маннергейм и Польша, 2005"
bio_0_djvu_vlasov_pi01.docx,"Власов П.И. Николай Руднев, 1960"
bio_0_djvu_volkov_strelyanov.docx,"Волков С.В. Стрелянов (Калабухов) П.Н. Чины Русского Корпуса Биографический справочник в фотографиях, 2009"
bio_0_djvu_volkov_sv01.docx,"Волков С.В. Офицеры флота и морского ведомства Опыт мартиролога, 2004"
bio_0_djvu_volodihin_dm01.docx,"Володихин Д.М. Иван IV Грозный, 2010"
bio_0_djvu_volodihin_dm02.docx,Володихин Д.М. Иван Шуйский. 2012
bio_0_djvu_volodihin_dm03.docx,"Володихин Д.М. Царь Федор Алексеевич, или Бедный отрок, 2013"
bio_0_djvu_volodihin_dm04.docx,"Володихин Д.М. Рюриковичи, 2013"
bio_0_djvu_volodihin_dm05.docx,"Володихин Д.М. Малюта Скуратов, 2012"
bio_0_djvu_volodihin_dm06.docx,Володихин Д.М. Воеводы Ивана Грозного. 2009
bio_0_djvu_vrubel_vl01.docx,"Врубель В.Л. Адмиралы Бутаковы — флотская слава России, 2014"
bio_0_djvu_xenofont.docx,"Ксенофонт. Киропедия, 1976"
bio_0_djvu_zhukov_av01.docx,"Жуков A.B. Барон Унгерн. Даурский крестоносец или буддист с мечом, 2013"
bio_0_djvu_zilmanovich_dy01.docx,"Зильманович Д.Я. Пионер советского ракетостроения Ф. А Цандер, 1966"
bio_0_djvu_zotov_av01.docx,"Зотов А.В. Главный соперник Наполеона. Великий генерал Моро, 2012"
bio_0_djvu_zverev_bi01.docx,"Зверев Б.И. Вице-адмирал В. А. Корнилов, 1957"
bio_0_pdf_alekseev_sp01.docx,"Алексеев С.П. Михаил Кутузов, 1997"
bio_0_pdf_amiryants_ga01.docx,"Амирьянц Г.А. Летчики-испытатели. Сергей Анохин со товарищи, 2001"
bio_0_pdf_ananyev_ga01.docx,"Ананьев Г.А. Котовский, 1982"
bio_0_pdf_andreev_il01.docx,"Андреев И.Л. Алексей Михайлович, 2003"
bio_0_pdf_andriasov_ma01.docx,"Андриасов М.А. Сын Зангезура. Герой Советского Союза Самсон Мкртумян, 1943"
bio_0_pdf_andruschenko_ai01.docx,"Андрущенко А.И. Адмирал Ушаков, 1951"
bio_0_pdf_anisimov_ev03.docx,"Анисимов Е.В. Анна Иоанновна, 2002"
bio_0_pdf_arefyev_bv01.docx,"Арефьев Б.В. Солдат империи, 2003"
bio_0_pdf_arzakanyan_mt01.docx,"Арзаканян M.Ц. Де Голль, 2007"
bio_0_pdf_avramov_pm01.docx,"Аврамов П.М. Генерал А. Г. Шкуро, 1919"
bio_0_pdf_balakin_vd01.docx,"Балакин В.Д. Творцы Священной Римской империи, 2004"
bio_0_pdf_balkansky_a01.docx,"Балканский А. Ким Ир Сен, 2011"
bio_0_pdf_baydukov_gf01.docx,"Байдуков Г.Ф. Чкалов, 1986"
bio_0_pdf_bazanov_sn01.docx,"Базанов С.Н. Алексей Алексеевич Брусилов, 2006"
bio_0_pdf_bohanov_an04.docx,"Боханов А.Н. Павел I, 2010"
bio_0_pdf_bondarenko_au01.docx,"Бондаренко А.Ю. Милорадович, 2008"
bio_0_pdf_borisov_sb01.docx,"Борисов Н.С. Иван III, 2000"
bio_0_pdf_bragin_mg01.docx,"Брагин М.Г. Кутузов, 1970"
bio_0_pdf_buganov_vi01.docx,"Буганов В.И. Булавин, 1988"
bio_0_pdf_buguraev_mk01.docx,"Бугураев М.К. Генерал Врангель, 1972"
bio_0_pdf_burche_ef01.docx,"Бурче Е.Ф. Пётр Николаевич Нестеров, 1955"
bio_0_pdf_cherkasov-georgievsky_vg01.docx,"Черкасов-Георгиевский В.Г. Генерал Петр Николаевич Врангель. Последний рыцарь Российской империи, 2004"
bio_0_pdf_davydov_uv01.docx,"Давыдов Ю.В. Нахимов, 1970"
bio_0_pdf_dobrovolsky_nt01.docx,"Добровольский Н.Т. Генерал-партизан А. Г. Шкуро, 1919"
bio_0_pdf_dushenkin_vv01.docx,"Душенькин В.В. Пролетарский маршал (о В. К. Блюхере), 1974"
