books_djvu_research_sb_v-gody-surovyh-ispytaniy.docx,"В годы суровых испытаний Ленинградская партийная организация в Великой Отечественной войне, 1985"
books_djvu_research_sb_vklad-istorikov.docx,"Вклад историков в сохранение исторической памяти о Великой Отечественной войне. На материалах Комиссии по истории Великой Отечественной войны АН СССР, 1941 — 1945, 2015"
books_djvu_research_sb_vklad-zauralya.docx,Вклад Зауралья в Победу в Великой Отечественной войне 1941-1945 гг.; материалы областной научно-практической конференции (28 апреля 2010 года) под общ. ред. В. В. Усманова. — Курган Правительство Курганской обл. 2010
books_djvu_research_sb_vo-glave-zaschity-sovetskoy-rodiny.docx,"Во главе защиты Советской Родины; Очерк деятельности КПСС в годы Великой Отеч. войны Ред. коллегия; П. Р. Шевердалкин и др. — Москва; Политиздат, 1975."
books_djvu_research_sb_voenno-blokovaya-politika-imperializma.docx,"Военно-блоковая политика империализма История и современность, 1980"
books_djvu_research_sb_voennye-organizatsii-patrii-bolshevikov-v-1917.docx,"Военные организации партии большевиков в 1917 году, 1986"
books_djvu_research_sb_vooruzhyonnaya-borba-narodov-afriki-za-svobodu-i-nezavisimost.docx,"Вооруженная борьба народов Африки за свободу и независимость, 1974"
books_djvu_research_sb_vov1941.docx,"Великая Отечественная война. 1941 год Исследования, документы, комментарии Отв. ред. B.C. Христофоров — М. Издательство Главного архивного управления города Москвы, 2011"
books_djvu_research_sb_vov1942.docx,"Великая Отечественная война. 1942 год Исследования, документы, комментарии Отв. ред. B.C. Христофоров. - М. Издательство Главного архивного управления города Москвы, 2012"
books_djvu_research_sb_yuzhnaya-osetiya.docx,Южная Осетия. 1988—1992. Хроника событий грузинской агрессии Составители Б. Е. Чочиев и М. К. Джиоев; Государственный комитет по делам национальностей и миграции РЮО. —Цхинвал Б. и. 1996. — 3000 экз.
books_djvu_research_sb_znat-i-pomnit.docx,"Знать и помнить. Преступления фашизма в годы Великой Отечественной войны Авт.-сост. Н.К. Петрова. — М. Вече, 2018"
books_djvu_research_schedrov_im01.docx,"Щедров И.М. Южный Вьетнам сегодня Режим Нго-динь-Зьема и национально-освободительное движение. (1954–1962), 1952"
books_djvu_research_scherbinin_pp01.docx,Щербинин П.П. Военный фактор в повседневной жизни русской женщины в XVIII — начале XX в. 2004
books_djvu_research_schimmelpenninck_d01.docx,"Схиммельпеннинк ван дер Ойе Д. Навстречу Восходящему солнцу Как имперское мифотворчество привело Россию к войне с Японией Авторизованный пер. с англ. Н. Мишаковой. —М. Новое литературное обозрение, 2009"
books_djvu_research_seligmann_davison_mcdonald01.docx,"Селигман М. Дэвисон Д. Макдональд Д. В тени свастики жизнь в Германии при нацистах, 1933—1945, 2008"
books_djvu_research_selihov_kn01.docx,"Селихов К.Н. Дерюгин Ю. И. По следам джи-ай Ким Селихов, Юрий Дерюгин; Послесл. Г. Грачикова. — Москва; Мол. гвардия, 1975"
books_djvu_research_semennikov_vp01.docx,"Семенников В.П. Монархия перед крушением 1914-1917. Бумаги Николая II и другие документы, 1927"
